대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,신구대장구분코드,신구대장구분코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),주용도코드,주용도코드명,기타용도,세대수(세대),가구수(가구),주건축물수,부속건축물수,부속건축물면적(㎡),총주차수,옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자
서울특별시 성북구 성북동 1번지,11290,10100,0,0001,0000,10091988,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2라길 27 (성북동),,,,,0,112904121305,10101,0,27,,0,150.99,0,394.46,272.86,0,05000,문화및집회시설,"문화및집회시설, 주차장, 차고",0,0,1,2,74,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 1-8번지,11290,10100,0,0001,0008,1000000000000001253937,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,,,,1064,319.14,29.99,727.28,512.78,48.19,05000,문화및집회시설,문화및집회시설(전시장),0,0,2,0,0,6,0,0,0,0,0,0,6,75,20211119,20211202,20230207,2021,3070271,건축과,1102,1102,0,,0,0,,0,,0,20230208
서울특별시 성북구 성북동 1-11번지,11290,10100,0,0001,0011,10091990,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2다길 29-5 (성북동),,,,,0,112904121304,10101,0,29,5,0,0,0,532.45,433.88,0,01000,단독주택,"주택,경비실",0,1,1,1,16.55,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 1-16번지,11290,10100,0,0001,0016,10091991,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2다길 13-5 (성북동),,,,,0,112904121304,10101,0,13,5,0,260.58,0,588.91,395.84,0,01000,단독주택,"다가구주택(2가구),차고",0,2,1,1,53.24,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 1-27번지,11290,10100,0,0001,0027,100911479,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로14라길 19 (성북동),,,,,0,112904121326,10101,0,19,,0,118.29,0,157.53,157.53,0,03000,제1종근린생활시설,"주택, 제1종근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 1-161번지,11290,10100,0,0001,0161,10091100232393,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 242 (성북동),,,,,1,112904121302,10101,0,242,0,6331,1646.94,26.01,5855.05,3425.86,54.11,11000,노유자시설,"노유자시설(사회복지시설, 노인복지시설)",0,0,2,0,0,27,0,0,0,0,0,0,27,157.94,20131106,20140425,20160728,2013,3070211,건축과,1102,1102,0,,0,0,,0,,0,20231005
서울특별시 성북구 성북동 2-22번지,11290,10100,0,0002,0022,100911622,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 47 (성북동),,,,,0,112904121302,10101,0,47,,0,376.7,0,473.74,462.27,0,01000,단독주택,"주택, 근린생활시설",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 2-57번지,11290,10100,0,0002,0057,10091992,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2라길 36 (성북동),,,,,0,112904121305,10101,0,36,0,0,0,0,753.16,584.14,0,01000,단독주택,,0,1,1,3,153.53,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 3-119번지,11290,10100,0,0003,0119,100911482,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 18-16 (성북동),,,,,0,112904121302,10101,0,18,16,0,62.05,0,98.74,84.69,0,01000,단독주택,주택,0,2,2,1,6.61,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 9-21번지,11290,10100,0,0009,0021,10091100219992,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,1004,287.9,28.68,429.34,262.24,26.12,01000,단독주택,단독주택,0,3,2,0,0,2,0,0,0,0,2,28.43,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 13-22번지,11290,10100,0,0013,0022,10091100202410,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로 67 (성북동),,,,,0,112903107007,10101,0,67,,2488,544.91,21.9,1040.27,742.98,29.86,06000,종교시설,"종교시설,근린생활시설",0,0,2,0,0,10,0,0,0,0,0,0,10,121.5,20101117,,20110228,2010,3070180,건축과,1108,1108,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 14번지,11290,10100,0,0014,0000,100911624,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로 71 (성북동),,,,,0,112903107007,10101,0,71,0,0,264.47,0,525.62,442.98,0,01000,단독주택,"주택, 근린생활시설",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 14-5번지,11290,10100,0,0014,0005,100911115,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로 79-10 (성북동),,,,,0,112903107007,10101,0,79,10,1313,373.2,28.42,1240.92,659.72,50.24,01000,단독주택,단독주택,0,2,2,0,0,0,0,0,0,0,10,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 14-42번지,11290,10100,0,0014,0042,10091993,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 155 (성북동),,,,,0,112904121302,10101,0,155,,0,297.45,0,692.99,491.74,0,01000,단독주택,"주택,관리실",0,1,1,1,52.91,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 15-71번지,11290,10100,0,0015,0071,10091994,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로 92 (성북동),,,,,0,112903107007,10101,0,92,0,0,195.77,0,409.13,314.81,0,01000,단독주택,"단독주택,자동차관련시설",0,1,1,1,84.8,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 15-136번지,11290,10100,0,0015,0136,10091100227453,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로5가길 30 (성북동),,,,,0,112904121308,10101,0,30,0,450,143.93,31.98,490.03,264.62,58.8,01000,단독주택,단독주택 및 문화및집회시설,0,1,2,0,0,4,0,0,0,0,4,80.2,0,0,20150512,20150518,20151012,2015,3070211,건축과,1102,1102,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 25-38번지,11290,10100,0,0025,0038,1000000000000001840223,1,일반,1,총괄표제부,1,신대장,,성북동 'ㅅ'씨 주택,,,,0,,,,,,655,196.19,29.95,397.89,266.84,40.74,01000,단독주택,,0,1,2,0,0,3,0,0,0,0,3,70.96,0,0,20211229,20220819,20230525,2021,3070271,건축과,1107,1107,0,,0,0,,0,,0,20230526
서울특별시 성북구 성북동 37-26번지,11290,10100,0,0037,0026,10091985,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 15 (성북동),,,,,0,112904121302,10101,0,15,0,0,190.19,0,516.14,346.98,0,01000,단독주택,"주택,주차장",0,1,1,1,82.04,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 42-3번지,11290,10100,0,0042,0003,1009115,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 5 (성북동),,,,,0,112904121302,10101,0,5,,0,324.21,0,542.63,491.92,0,01000,단독주택,"주택, 근린생활시설(점포)",0,1,2,1,7.44,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 46-3번지,11290,10100,0,0046,0003,100911476,1,일반,1,총괄표제부,0,구대장,서울특별시 성북구 선잠로 12-18 (성북동),대한불교 조계종 전등사,,,,2,112903107007,10101,0,12,18,1389.8,681.03,49,1048.67,1048.67,75.45,06000,종교시설,종교시설(사찰),0,0,2,0,0,9,0,0,0,0,9,198.63,0,0,,19980413,200004,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 46-7번지,11290,10100,0,0046,0007,100911484,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로2길 12 (성북동),,,,,0,112904121302,10101,0,12,,0,110.38,0,115.34,110.38,0,04000,제2종근린생활시설,근린생활시설,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20241223
서울특별시 성북구 성북동 55-1번지,11290,10100,0,0055,0001,10091986,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로 12-11 (성북동),,,,,0,112903107007,10101,0,12,11,0,452.32,0,1192.86,903.56,0,04000,제2종근린생활시설,"문화및집회시설,주차장",0,2,1,1,120.36,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 62-17번지,11290,10100,0,0062,0017,100911485,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로18길 20 (성북동),,,,,0,112904121330,10101,0,20,0,0,140.92,0,303.37,298.81,0,01000,단독주택,"주택, 점포",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 65-11번지,11290,10100,0,0065,0011,1009116,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,136.43,0,418.45,343.24,0,03000,제1종근린생활시설,"주택, 점포",0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 66-1번지,11290,10100,0,0066,0001,100911626,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로 102-10 (성북동),,,,,0,112903107008,10101,0,102,10,13376,2430.34,18.17,6551.44,6551.44,48.98,10000,교육연구시설,교육연구시설,0,0,2,6,153.65,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20240911
서울특별시 성북구 성북동 80번지,11290,10100,0,0080,0000,100911628,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 선잠로3길 3-7 (성북동),,,,,0,112904121307,10101,0,3,7,0,78.09,0,78.09,78.09,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 85-27번지,11290,10100,0,0085,0027,100911486,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로24길 8-10 (성북동),,,,,0,112904121341,10101,0,8,10,0,59.51,0,59.51,59.51,0,01000,단독주택,주택,0,2,2,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 85-39번지,11290,10100,0,0085,0039,1009118,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로24길 58 (성북동),,,,,0,112904121341,10101,0,58,0,0,62.7,0,62.7,62.7,0,01000,단독주택,주택,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 97-1번지,11290,10100,0,0097,0001,1000000000000003518607,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로 102-11 (성북동),,,,,1,112903107008,10101,,102,11,2137,615.92,28.8217,1517.62,821.62,38.4474,05000,문화및집회시설,문화및집회시설,0,0,2,0,0,10,0,0,0,0,0,0,10,126.21,,,,,,,,,0,,0,0,,0,,0,20240412
서울특별시 성북구 성북동 99-2번지,11290,10100,0,0099,0002,100911477,1,일반,1,총괄표제부,0,구대장,서울특별시 성북구 성북로 102-5 (성북동),성북동글라렛수도원,,,,1,112903107008,10101,0,102,5,659.58,315.39,47.82,1289.3,979.06,148.44,06000,종교시설,종교및집회시설,0,0,2,0,0,5,0,0,0,0,0,0,5,57.5,,,200204,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 113-42번지,11290,10100,0,0113,0042,100911629,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,109.92,0,109.92,109.92,0,01000,단독주택,주택,0,2,2,2,6.1,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 114-7번지,11290,10100,0,0114,0007,10091987,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로23길 7 (성북동),,,,,0,112904121334,10101,0,7,,0,0,0,102.72,102.72,0,03000,제1종근린생활시설,제1종근린생활시설,0,0,1,1,6.4,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 122-4번지,11290,10100,0,0122,0004,100911490,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,169,69.43,41.08,124.41,124.41,73.62,04000,제2종근린생활시설,"단독주택,근린생활시설",0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 126-4번지,11290,10100,0,0126,0004,100911630,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,169.92,0,188.76,169.92,0,03000,제1종근린생활시설,"근린생활시설, 주택",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 128-1번지,11290,10100,0,0128,0001,100911491,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로 73 (성북동),,,,,0,112903107008,10101,0,73,0,221,88.42,40.01,218.52,153.47,69.44,04000,제2종근린생활시설,제2종근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 133-41번지,11290,10100,0,0133,0041,100911632,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로 65 (성북동),,,,,0,112903107008,10101,0,65,,0,69.12,0,123.07,123.07,0,03000,제1종근린생활시설,"근린생활시설, 주택,",0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 133-50번지,11290,10100,0,0133,0050,10091100248492,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,0,0,99,61.56,62.18,75.61,75.61,76.37,03000,제1종근린생활시설,근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 133-60번지,11290,10100,0,0133,0060,10091100231453,1,일반,1,총괄표제부,1,신대장,,,,,,0,,,0,,,0,0,0,69.42,69.42,0,03000,제1종근린생활시설,제1종근린생활시설,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 145-58번지,11290,10100,0,0145,0058,100911633,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로14길 27 (성북동),,,,,0,112904121323,10101,0,27,0,0,236.45,0,705.9,550.99,0,01000,단독주택,"주택, 다가구용단독주택(14가구)",0,15,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20220813
서울특별시 성북구 성북동 151번지,11290,10100,0,0151,0000,100911262,1,일반,1,총괄표제부,1,신대장,서울특별시 성북구 성북로14가길 23 (성북동),,,,,4,112904121322,10101,0,23,,35338,6516.62,18.44,19025.25,18590.94,52.61,10000,교육연구시설,학교,0,0,3,10,1569.84,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,0,,0,,0,20251202
